Date,Open,High,Low,Close,Volume,Adj Close
2010-10-14 00:00:00,81.44,81.44,81.44,81.44,1000000,81.44
2010-10-15 00:00:00,81.32,81.32,81.32,81.32,1000000,81.32
2010-10-18 00:00:00,81.16,81.16,81.16,81.16,1000000,81.16
2010-10-19 00:00:00,81.6,81.6,81.6,81.6,1000000,81.6
2010-10-20 00:00:00,81.14,81.14,81.14,81.14,1000000,81.14
2010-10-21 00:00:00,81.16,81.16,81.16,81.16,1000000,81.16
2010-10-22 00:00:00,81.48,81.48,81.48,81.48,1000000,81.48
2010-10-25 00:00:00,80.61,80.61,80.61,80.61,1000000,80.61
2010-10-26 00:00:00,81.28,81.28,81.28,81.28,1000000,81.28
2010-10-27 00:00:00,81.55,81.55,81.55,81.55,1000000,81.55
2010-10-28 00:00:00,80.99,80.99,80.99,80.99,1000000,80.99
2010-10-29 00:00:00,80.48,80.48,80.48,80.48,1000000,80.48
2010-11-01 00:00:00,80.66,80.66,80.66,80.66,1000000,80.66
2010-11-02 00:00:00,80.8,80.8,80.8,80.8,1000000,80.8
2010-11-03 00:00:00,81.41,81.41,81.41,81.41,1000000,81.41
2010-11-04 00:00:00,80.61,80.61,80.61,80.61,1000000,80.61
2010-11-05 00:00:00,81.35,81.35,81.35,81.35,1000000,81.35
2010-11-08 00:00:00,81.14,81.14,81.14,81.14,1000000,81.14
2010-11-09 00:00:00,81.15,81.15,81.15,81.15,1000000,81.15
2010-11-10 00:00:00,82.53,82.53,82.53,82.53,1000000,82.53
2010-11-12 00:00:00,82.44,82.44,82.44,82.44,1000000,82.44
2010-11-15 00:00:00,82.9,82.9,82.9,82.9,1000000,82.9
2010-11-16 00:00:00,83.41,83.41,83.41,83.41,1000000,83.41
2010-11-17 00:00:00,83.15,83.15,83.15,83.15,1000000,83.15
2010-11-18 00:00:00,83.64,83.64,83.64,83.64,1000000,83.64
2010-11-19 00:00:00,83.49,83.49,83.49,83.49,1000000,83.49
2010-11-22 00:00:00,83.46,83.46,83.46,83.46,1000000,83.46
2010-11-23 00:00:00,82.86,82.86,82.86,82.86,1000000,82.86
2010-11-24 00:00:00,83.38,83.38,83.38,83.38,1000000,83.38
2010-11-26 00:00:00,84.08,84.08,84.08,84.08,1000000,84.08
2010-11-29 00:00:00,84.34,84.34,84.34,84.34,1000000,84.34
2010-11-30 00:00:00,83.56,83.56,83.56,83.56,1000000,83.56
2010-12-01 00:00:00,84.0,84.0,84.0,84.0,1000000,84.0
2010-12-02 00:00:00,83.53,83.53,83.53,83.53,1000000,83.53
2010-12-03 00:00:00,82.73,82.73,82.73,82.73,1000000,82.73
2010-12-06 00:00:00,82.7,82.7,82.7,82.7,1000000,82.7
2010-12-07 00:00:00,83.04,83.04,83.04,83.04,1000000,83.04
2010-12-08 00:00:00,84.16,84.16,84.16,84.16,1000000,84.16
2010-12-09 00:00:00,83.85,83.85,83.85,83.85,1000000,83.85
2010-12-10 00:00:00,83.87,83.87,83.87,83.87,1000000,83.87
2010-12-13 00:00:00,83.57,83.57,83.57,83.57,1000000,83.57
2010-12-14 00:00:00,83.52,83.52,83.52,83.52,1000000,83.52
2010-12-15 00:00:00,84.04,84.04,84.04,84.04,1000000,84.04
2010-12-16 00:00:00,84.23,84.23,84.23,84.23,1000000,84.23
2010-12-17 00:00:00,84.15,84.15,84.15,84.15,1000000,84.15
2010-12-20 00:00:00,83.72,83.72,83.72,83.72,1000000,83.72
2010-12-21 00:00:00,83.76,83.76,83.76,83.76,1000000,83.76
2010-12-22 00:00:00,83.56,83.56,83.56,83.56,1000000,83.56
2010-12-23 00:00:00,82.97,82.97,82.97,82.97,1000000,82.97
2010-12-27 00:00:00,82.91,82.91,82.91,82.91,1000000,82.91
2010-12-28 00:00:00,82.21,82.21,82.21,82.21,1000000,82.21
2010-12-29 00:00:00,81.9,81.9,81.9,81.9,1000000,81.9
2010-12-30 00:00:00,81.67,81.67,81.67,81.67,1000000,81.67
2011-01-03 00:00:00,81.56,81.56,81.56,81.56,1000000,81.56
2011-01-04 00:00:00,81.96,81.96,81.96,81.96,1000000,81.96
2011-01-05 00:00:00,83.22,83.22,83.22,83.22,1000000,83.22
2011-01-06 00:00:00,83.15,83.15,83.15,83.15,1000000,83.15
2011-01-07 00:00:00,83.04,83.04,83.04,83.04,1000000,83.04
2011-01-10 00:00:00,82.78,82.78,82.78,82.78,1000000,82.78
2011-01-11 00:00:00,83.36,83.36,83.36,83.36,1000000,83.36
2011-01-12 00:00:00,83.29,83.29,83.29,83.29,1000000,83.29
2011-01-13 00:00:00,82.72,82.72,82.72,82.72,1000000,82.72
2011-01-14 00:00:00,82.99,82.99,82.99,82.99,1000000,82.99
2011-01-18 00:00:00,82.66,82.66,82.66,82.66,1000000,82.66
2011-01-19 00:00:00,82.03,82.03,82.03,82.03,1000000,82.03
2011-01-20 00:00:00,83.02,83.02,83.02,83.02,1000000,83.02
2011-01-21 00:00:00,82.63,82.63,82.63,82.63,1000000,82.63
2011-01-24 00:00:00,82.44,82.44,82.44,82.44,1000000,82.44
2011-01-25 00:00:00,82.35,82.35,82.35,82.35,1000000,82.35
2011-01-26 00:00:00,82.27,82.27,82.27,82.27,1000000,82.27
2011-01-27 00:00:00,83.03,83.03,83.03,83.03,1000000,83.03
